Week,Git,Subversion,Perforce
2015-05-16,198.9565217391,9.0434782609,4.5217391304
2015-05-23,183.1304347826,9.0434782609,4.5217391304
2015-05-30,196.6956521739,9.0434782609,4.5217391304
2015-06-06,196.6956521739,9.0434782609,4.5217391304
2015-06-13,196.6956521739,9.0434782609,4.5217391304
2015-06-20,196.6956521739,9.0434782609,4.5217391304
2015-06-27,189.9130434783,6.7826086957,4.5217391304
2015-07-04,194.4347826087,9.0434782609,4.5217391304
2015-07-11,194.4347826087,6.7826086957,4.5217391304
2015-07-18,196.6956521739,6.7826086957,4.5217391304
2015-07-25,192.1739130435,6.7826086957,4.5217391304
2015-08-01,196.6956521739,6.7826086957,4.5217391304
2015-08-08,189.9130434783,6.7826086957,4.5217391304
2015-08-15,196.6956521739,6.7826086957,4.5217391304
2015-08-22,194.4347826087,6.7826086957,4.5217391304
2015-08-29,196.6956521739,9.0434782609,4.5217391304
2015-09-05,198.9565217391,6.7826086957,4.5217391304
2015-09-12,205.7391304348,9.0434782609,4.5217391304
2015-09-19,194.4347826087,9.0434782609,4.5217391304
2015-09-26,198.9565217391,9.0434782609,4.5217391304
2015-10-03,208,9.0434782609,4.5217391304
2015-10-10,208,9.0434782609,4.5217391304
2015-10-17,208,6.7826086957,4.5217391304
2015-10-24,210.2608695652,9.0434782609,4.5217391304
2015-10-31,214.7826086957,9.0434782609,4.5217391304
2015-11-07,205.7391304348,9.0434782609,4.5217391304
2015-11-14,212.5217391304,9.0434782609,4.5217391304
2015-11-21,192.1739130435,6.7826086957,4.5217391304
2015-11-28,208,9.0434782609,4.5217391304
2015-12-05,205.7391304348,6.7826086957,4.5217391304
2015-12-12,210.2608695652,6.7826086957,4.5217391304
2015-12-19,160.5217391304,4.5217391304,2.2608695652
2015-12-26,128.8695652174,4.5217391304,2.2608695652
2016-01-02,192.1739130435,6.7826086957,4.5217391304
2016-01-09,208,6.7826086957,4.5217391304
2016-01-16,214.7826086957,6.7826086957,4.5217391304
2016-01-23,217.0434782609,6.7826086957,4.5217391304
2016-01-30,217.0434782609,6.7826086957,4.5217391304
2016-02-06,208,6.7826086957,4.5217391304
2016-02-13,214.7826086957,6.7826086957,4.5217391304
2016-02-20,214.7826086957,6.7826086957,4.5217391304
2016-02-27,217.0434782609,6.7826086957,4.5217391304
2016-03-05,214.7826086957,6.7826086957,4.5217391304
2016-03-12,221.5652173913,15.8260869565,4.5217391304
2016-03-19,210.2608695652,6.7826086957,4.5217391304
2016-03-26,210.2608695652,6.7826086957,4.5217391304
2016-04-02,219.3043478261,9.0434782609,4.5217391304
2016-04-09,226.0869565217,9.0434782609,4.5217391304
2016-04-16,223.8260869565,6.7826086957,4.5217391304
2016-04-23,223.8260869565,9.0434782609,4.5217391304
2016-04-30,208,6.7826086957,4.5217391304
2016-05-07,221.5652173913,6.7826086957,4.5217391304
2016-05-14,223.8260869565,6.7826086957,4.5217391304
2016-05-21,221.5652173913,6.7826086957,4.5217391304
2016-05-28,214.7826086957,6.7826086957,4.5217391304
2016-06-04,219.3043478261,6.7826086957,4.5217391304
2016-06-11,223.8260869565,6.7826086957,4.5217391304
2016-06-18,217.0434782609,6.7826086957,4.5217391304
2016-06-25,217.0434782609,6.7826086957,4.5217391304
2016-07-02,210.2608695652,6.7826086957,4.5217391304
2016-07-09,219.3043478261,6.7826086957,4.5217391304
2016-07-16,219.3043478261,6.7826086957,4.5217391304
2016-07-23,219.3043478261,6.7826086957,4.5217391304
2016-07-30,226.0869565217,6.7826086957,4.5217391304
2016-08-06,221.5652173913,6.7826086957,4.5217391304
2016-08-13,214.7826086957,4.5217391304,4.5217391304
2016-08-20,223.8260869565,6.7826086957,4.5217391304
2016-08-27,208,4.5217391304,4.5217391304
